mol_id,smiles,value,smiles_random,smiles_blind,value_blind
[H]C([H])([H])[H],[H]C([H])([H])[H],0.43295186,C,{Q}A{{Q}}{{Q}}{Q},18.206249907995044
[H]N([H])[H],[H]N([H])[H],0.26521952,N,{Q}D{{Q}}{Q},55.96088077873799
[H]O[H],[H]O[H],0.28653735,O,{Q}B{Q},51.16248112238519
[H]C#C[H],[H]C#C[H],0.35862867,C#C,{Q}A^A{Q},34.93554971735855
[H]C#N,[H]C#N,0.31995762,N#C,{Q}A^D,43.639960674327504
[H]C([H])=O,[H]C([H])=O,0.15391355,O=C,{Q}A{{Q}}~B,81.01458128193246
[H]C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])[H],0.37613753,CC,{Q}A{{Q}}{{Q}}A{{Q}}{{Q}}{Q},30.99450563326888
[H]OC([H])([H])[H],[H]OC([H])([H])[H],0.26669063,OC,{Q}BA{{Q}}{{Q}}{Q},55.62975074728276
[H]C#CC([H])([H])[H],[H]C#CC([H])([H])[H],0.27338914,C(C)#C,{Q}A^AA{{Q}}{{Q}}{Q},54.12199277744833
[H]C([H])([H])C#N,[H]C([H])([H])C#N,0.31965511,N#CC,{Q}A{{Q}}{{Q}}A^D,43.70805221460357
[H]C(=O)C([H])([H])[H],[H]C(=O)C([H])([H])[H],0.16572695,CC=O,{Q}A{~B}A{{Q}}{{Q}}{Q},78.35552008760085
[H]C(=O)N([H])[H],[H]C(=O)N([H])[H],0.21631598,O=CN,{Q}A{~B}D{{Q}}{Q},66.9685081746988
[H]C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])[H],0.35880714,C(C)C,{Q}A{{Q}}{{Q}}A{{Q}}{{Q}}A{{Q}}{{Q}}{Q},34.895378162060965
[H]OC([H])([H])C([H])([H])[H],[H]OC([H])([H])C([H])([H])[H],0.26669876,CCO,{Q}BA{{Q}}{{Q}}A{{Q}}{{Q}}{Q},55.62792077729022
[H]C([H])([H])OC([H])([H])[H],[H]C([H])([H])OC([H])([H])[H],0.2741024,COC,{Q}A{{Q}}{{Q}}BA{{Q}}{{Q}}{Q},53.9614461111652
[H]C1([H])C([H])([H])C1([H])[H],[H]C1([H])C([H])([H])C1([H])[H],0.32815231,C1CC1,{Q}Ar{{Q}}A{{Q}}{{Q}}Ar{{Q}}{Q},41.79542970283943
[H]C1([H])OC1([H])[H],[H]C1([H])OC1([H])[H],0.29635574,O1CC1,{Q}Ar{{Q}}BAr{{Q}}{Q},48.9524738560763
[H]C([H])([H])C(=O)C([H])([H])[H],[H]C([H])([H])C(=O)C([H])([H])[H],0.17028194,CC(=O)C,{Q}A{{Q}}{{Q}}A{~B}A{{Q}}{{Q}}{Q},77.33024394783006
[H]N([H])C(=O)C([H])([H])[H],[H]N([H])C(=O)C([H])([H])[H],0.21596251,NC(=O)C,{Q}D{{Q}}A{~B}A{{Q}}{{Q}}{Q},67.04807022799085
[H]N([H])C(=O)N([H])[H],[H]N([H])C(=O)N([H])[H],0.24723508,NC(N)=O,{Q}D{{Q}}A{~B}D{{Q}}{Q},60.00897248017746
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.35097573,CC(C)C,{Q}A{{Q}}{{Q}}A{{Q}}{A{{Q}}{{Q}}{Q}}A{{Q}}{{Q}}{Q},36.6581389614837
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0.26747653,OC(C)C,{Q}BA{{Q}}{A{{Q}}{{Q}}{Q}}A{{Q}}{{Q}}{Q},55.45285364800353
[H]C#CC#C[H],[H]C#CC#C[H],0.20552458,C(C#C)#C,{Q}A^AA^A{Q},69.39752886074261
[H]C#CC#N,[H]C#CC#N,0.22381617,C(#N)C#C,{Q}A^AA^D,65.28030120810882
N#CC#N,N#CC#N,0.24879131,C(C#N)#N,D^AA^D,59.658682910497724
[H]C#CC([H])=O,[H]C#CC([H])=O,0.14777048,C(C=O)#C,{Q}A^AA{{Q}}~B,82.39731606201802
[H]C(=O)C#N,[H]C(=O)C#N,0.14869072,C(#N)C=O,{Q}A{~B}A^D,82.19018056559264
[H]C(=O)C([H])=O,[H]C(=O)C([H])=O,0.10808901,O=CC=O,{Q}A{~B}A{{Q}}~B,91.32916100175034
[H]C([H])([H])C#CC([H])([H])[H],[H]C([H])([H])C#CC([H])([H])[H],0.29723268,C(#CC)C,{Q}A{{Q}}{{Q}}A^AA{{Q}}{{Q}}{Q},48.755084694297544
[H]C#CC([H])([H])C([H])([H])[H],[H]C#CC([H])([H])C([H])([H])[H],0.27127217,CCC#C,{Q}A^AA{{Q}}{{Q}}A{{Q}}{{Q}}{Q},54.59849850624479
[H]C([H])([H])C([H])([H])C#N,[H]C([H])([H])C([H])([H])C#N,0.31638476,CCC#N,{Q}A{{Q}}{{Q}}A{{Q}}{{Q}}A^D,44.44417058669649
[H]N([H])C([H])([H])C#N,[H]N([H])C([H])([H])C#N,0.24925877,C(N)C#N,{Q}D{{Q}}A{{Q}}{{Q}}A^D,59.55346301225486
[H]C#CC([H])([H])O[H],[H]C#CC([H])([H])O[H],0.25150791,C(O)C#C,{Q}A^AA{{Q}}{{Q}}B{Q},59.04720732848735
[H]OC([H])([H])C#N,[H]OC([H])([H])C#N,0.26675269,OCC#N,{Q}BA{{Q}}{{Q}}A^D,55.61578175125111
[H]C(=O)C([H])([H])C([H])([H])[H],[H]C(=O)C([H])([H])C([H])([H])[H],0.16275309,CCC=O,{Q}A{~B}A{{Q}}{{Q}}A{{Q}}{{Q}}{Q},79.02490195254872
[H]C(=O)N([H])C([H])([H])[H],[H]C(=O)N([H])C([H])([H])[H],0.21851084,O=CNC,{Q}A{~B}D{{Q}}A{{Q}}{{Q}}{Q},66.47447029796639
[H]C(=O)OC([H])([H])[H],[H]C(=O)OC([H])([H])[H],0.22046658,C(=O)OC,{Q}A{~B}BA{{Q}}{{Q}}{Q},66.03425559769363
[H]OC([H])([H])C([H])=O,[H]OC([H])([H])C([H])=O,0.15734384,C(O)C=O,{Q}BA{{Q}}{{Q}}A{{Q}}~B,80.2424622455582
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.35039928,CCCC,{Q}A{{Q}}{{Q}}A{{Q}}{{Q}}A{{Q}}{{Q}}A{{Q}}{{Q}}{Q},36.78789126187753
[H]OC([H])([H])C([H])([H])C([H])([H])[H],[H]OC([H])([H])C([H])([H])C([H])([H])[H],0.26636922,C(C)CO,{Q}BA{{Q}}{{Q}}A{{Q}}{{Q}}A{{Q}}{{Q}}{Q},55.70209646134222
[H]C([H])([H])OC([H])([H])C([H])([H])[H],[H]C([H])([H])OC([H])([H])C([H])([H])[H],0.27245036,O(C)CC,{Q}A{{Q}}{{Q}}BA{{Q}}{{Q}}A{{Q}}{{Q}}{Q},54.33330141577553
